definition.cve,asset.name,severity,definition.cvss3.base_score,definition.description
CVE-2023-1637; CVE-2023-2002; CVE-2023-20593; CVE-2023-3090; CVE-2023-3390; CVE-2023-35001; CVE-2023-35788; CVE-2023-3776; CVE-2023-4004; CVE-2023-44466,na2devfospos01,High,8.8,"The remote Redhat Enterprise Linux 8 host has packages installed that are affected by multiple vulnerabilities as referenced in the RHSA-2023:5244 advisory.

    The kernel packages contain the Linux kernel; the core of any Linux operating system.

    Security Fix(es):

    * kernel: ipvlan: out-of-bounds write caused by unclear skb->cb (CVE-2023-3090)

    * kernel: UAF in nftables when nft_set_lookup_global triggered after handling named and anonymous sets in     batch requests (CVE-2023-3390)

    * kernel: net/sched: cls_fw component can be exploited as result of failure in tcf_change_indev function     (CVE-2023-3776)

    * kernel: netfilter: use-after-free due to improper element removal in nft_pipapo_remove() (CVE-2023-4004)

    * kernel: nf_tables: stack-out-of-bounds-read in nft_byteorder_eval() (CVE-2023-35001)

    * kernel: cls_flower: out-of-bounds write in fl_set_geneve_opt() (CVE-2023-35788)

    * kernel: bluetooth: Unauthorized management command execution (CVE-2023-2002)

    * hw: amd: Cross-Process Information Leak (CVE-2023-20593)

    For more details about the security issue(s); including the impact; a CVSS score; acknowledgments; and     other related information; refer to the CVE page(s) listed in the References section.

    Bug Fix(es):

    * low memory deadlock with md devices and external (imsm) metadata handling - requires a kernfs     notification backport (BZ#2208540)

    * Intel 8.9 BUG; SPR EMR FHF ACPI: Fix system hang during S3 wakeup (BZ#2218025)

    * OCS 4.8; cephfs kernel crash:  mds_dispatch ceph_handle_snap unable to handle kernel NULL (BZ#2218271)

    * st_gmac: tx-checksum offload on vlan is not consistent with st_gmac interface (BZ#2219907)

    * refcount_t overflow often happens in mem_cgroup_id_get_online() (BZ#2221010)

    * avoid unnecessary page fault retires on shared memory types (BZ#2221100)

    * enable conntrack clash resolution for GRE (BZ#2223542)

    * ice: avoid bonding causing auxiliary plug/unplug under RTNL lock (BZ#2224515)

    * libceph: harden msgr2.1 frame segment length checks [8.x] (BZ#2227073)

    * Important iavf bug fixes July 2023 (BZ#2228161)

    * i40e error: Cannot set interface MAC/vlanid to 1e:b7:e2:02:b1:aa/0 for ifname ens4f0 vf 0: Resource     temporarily unavailable (BZ#2228163)

    * oops on cifs_mount due to null tcon (BZ#2229128)

    * iptables argument --suppl-groups in extension owner does not work in RHEL8 (BZ#2229715)

    * Hyper-V RHEL 8: incomplete fc_transport implementation in storvsc causes null dereference in     fc_timed_out() (BZ#2230743)

    * Withdrawal: GFS2: could not freeze filesystem: -16 (BZ#2231825)

    * RHEL 8 Hyper-V: Excessive hv_storvsc driver logging with srb_status  SRB_STATUS_INTERNAL_ERROR  (0x30)     (BZ#2231988)

    * RHEL-8: crypto: rng - Fix lock imbalance in crypto_del_rng (BZ#2232215)

    * Intel 8.9 iavf: Driver Update (BZ#2232399)

    * Hyper-V RHEL-8 hv_storvsc driver logging excessive storvsc_log events for storvsc_on_io_completion()     function (BZ#2233227)

    Enhancement(s):

    * Intel 8.9 FEAT; EMR perf: Add EMR CPU PMU support (BZ#2230152)

    * Intel 8.9 FEAT; SPR EMR power: Add uncore frequency control driver (BZ#2230158)

    * Intel 8.9 FEAT EMR perf: RAPL PMU support on EMR (BZ#2230162)

Tenable has extracted the preceding description block directly from the Red Hat Enterprise Linux security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2025-49144,na1dsptdatss01,High,7.3,"The version of Notepad++ installed on the remote host is prior to 8.8.2. It is; therefore; affected by a privilege escalation vulnerability:

  - Notepad++ is a free and open-source source code editor. In versions 8.8.1 and prior; a privilege escalation     vulnerability exists in the Notepad++ v8.8.1 installer that allows unprivileged users to gain SYSTEM-level     privileges through insecure executable search paths. An attacker could use social engineering or clickjacking to     trick users into downloading both the legitimate installer and a malicious executable to the same directory     (typically Downloads folder - which is known as Vulnerable directory). Upon running the installer; the attack     executes automatically with SYSTEM privileges. This issue has been fixed and will be released in version 8.8.2.
    (CVE-2025-49144)   Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number."
CVE-2025-6965,gasdmdmdevlic01,Critical,9.8,"The remote Oracle Linux 9 host has packages installed that are affected by a vulnerability as referenced in the ELSA-2025-11992 advisory.

    [3.34.1-8]
    - Fixes CVE-2025-6965

Tenable has extracted the preceding description block directly from the Oracle Linux security advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number."
CVE-2025-29088; CVE-2025-6965,wem-staging-haproxy-coso000007,Critical,9.8,"The remote Ubuntu 14.04 LTS / 16.04 LTS / 18.04 LTS / 20.04 LTS host has packages installed that are affected by multiple vulnerabilities as referenced in the USN-7679-1 advisory.

    It was discovered that SQLite incorrectly handled aggregate terms. An attacker could use this issue to     cause SQLite to crash; resulting in a denial of service; or possibly execute arbitrary code.
    (CVE-2025-6965)

    It was discovered that SQLite incorrectly handled certain argument values to sqlite3_db_config(). An     attacker could use this issue to cause SQLite to crash; resulting in a denial of service; or possibly     execute arbitrary code. This update fixes the issue in Ubuntu 14.04 LTS; Ubuntu 16.04 LTS; and Ubuntu     18.04 LTS. This issue was previously fixed in Ubuntu 20.04 LTS via USN-7528-1. (CVE-2025-29088)

Tenable has extracted the preceding description block directly from the Ubuntu security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2025-55315,cc1,Critical,9.9,"The version of ASP.NET Core installed on the remote Windows host is 8.0.x prior to 8.0.21; 9.0.x prior to 9.0.10; or 10.0.0-rc.1.25451.107. It is; therefore; affected by a security feature bypass vulnerability.
Inconsistent interpretation of http requests ('http request/response smuggling') in ASP.NET Core allows an authorized attacker to bypass a security feature over a network.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2025-49144,gasdiprwin1903,High,7.3,"The version of Notepad++ installed on the remote host is prior to 8.8.2. It is; therefore; affected by a privilege escalation vulnerability:

  - Notepad++ is a free and open-source source code editor. In versions 8.8.1 and prior; a privilege escalation     vulnerability exists in the Notepad++ v8.8.1 installer that allows unprivileged users to gain SYSTEM-level     privileges through insecure executable search paths. An attacker could use social engineering or clickjacking to     trick users into downloading both the legitimate installer and a malicious executable to the same directory     (typically Downloads folder - which is known as Vulnerable directory). Upon running the installer; the attack     executes automatically with SYSTEM privileges. This issue has been fixed and will be released in version 8.8.2.
    (CVE-2025-49144)   Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number."
CVE-2024-49072; CVE-2024-49075; CVE-2024-49076; CVE-2024-49079; CVE-2024-49080; CVE-2024-49082; CVE-2024-49084; CVE-2024-49085; CVE-2024-49086; CVE-2024-49088; CVE-2024-49089; CVE-2024-49090; CVE-2024-49091; CVE-2024-49095; CVE-2024-49096; CVE-2024-49097; CVE-2024-49102; CVE-2024-49104; CVE-2024-49105; CVE-2024-49106; CVE-2024-49107; CVE-2024-49108; CVE-2024-49112; CVE-2024-49113; CVE-2024-49114; CVE-2024-49115; CVE-2024-49116; CVE-2024-49117; CVE-2024-49118; CVE-2024-49119; CVE-2024-49120; CVE-2024-49121; CVE-2024-49122; CVE-2024-49123; CVE-2024-49124; CVE-2024-49125; CVE-2024-49126; CVE-2024-49127; CVE-2024-49128; CVE-2024-49129; CVE-2024-49132; CVE-2024-49138,dc,High,8.4,"The remote Windows host is missing security update 5048654 or hotpatch 5048800. It is; therefore; affected by multiple vulnerabilities

  - Input Method Editor (IME) Remote Code Execution Vulnerability (CVE-2024-49079)

  - Windows Common Log File System Driver Elevation of Privilege Vulnerability (CVE-2024-49090)

  - Windows Lightweight Directory Access Protocol (LDAP) Remote Code Execution Vulnerability (CVE-2024-49112)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2025-24189; CVE-2025-31257; CVE-2025-31273; CVE-2025-31278; CVE-2025-43211; CVE-2025-43212; CVE-2025-43216; CVE-2025-43227; CVE-2025-43228; CVE-2025-43240; CVE-2025-43265; CVE-2025-53057; CVE-2025-53066; CVE-2025-61748; CVE-2025-6558,na1devfoccdh02,High,7.5,"The 8u461; 11.0.28; 17.0.16; 21.0.8; 25; versions of Java installed on the remote host are affected by multiple vulnerabilities as referenced in the October 2025 CPU advisory.

  - Vulnerability in Oracle Java SE (component: JavaFX (WebKitGTK)). Supported versions that are affected are     Oracle Java SE: 8u461-b50. Difficult to exploit vulnerability allows unauthenticated attacker with     network access via multiple protocols to compromise Oracle Java SE. Successful attacks require human     interaction from a person other than the attacker. Successful attacks of this vulnerability can result in     takeover of Oracle Java SE. (CVE-2025-31257)

  - Vulnerability in the Oracle Java SE; Oracle GraalVM for JDK; Oracle GraalVM Enterprise Edition product of     Oracle Java SE (component: Security). Supported versions that are affected are Oracle Java SE: 8u461;     8u461-perf; 11.0.28; 17.0.16; 21.0.8; 25; Oracle GraalVM for JDK: 17.0.16 and 21.0.8; Oracle GraalVM     Enterprise Edition: 21.3.15. Difficult to exploit vulnerability allows unauthenticated attacker with     network access via multiple protocols to compromise Oracle Java SE; Oracle GraalVM for JDK; Oracle     GraalVM Enterprise Edition. Successful attacks of this vulnerability can result in unauthorized creation;     deletion or modification access to critical data or all Oracle Java SE; Oracle GraalVM for JDK; Oracle     GraalVM Enterprise Edition accessible data. (CVE-2025-53057)

  - Vulnerability in the Oracle Java SE; Oracle GraalVM for JDK; Oracle GraalVM Enterprise Edition product     of Oracle Java SE (component: JAXP). Supported versions that are affected are Oracle Java SE: 8u461;     8u461-perf; 11.0.28; 17.0.16; 21.0.8; 25; Oracle GraalVM for JDK: 17.0.16 and 21.0.8; Oracle GraalVM     Enterprise Edition: 21.3.15. Easily exploitable vulnerability allows unauthenticated attacker with     network access via multiple protocols to compromise Oracle Java SE; Oracle GraalVM for JDK; Oracle     GraalVM Enterprise Edition. Successful attacks of this vulnerability can result in unauthorized access     to critical data or complete access to all Oracle Java SE; Oracle GraalVM for JDK; Oracle GraalVM     Enterprise Edition accessible data. (CVE-2025-53066)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2023-23000; CVE-2023-23004; CVE-2024-1086; CVE-2024-24855,aws-uk-se-bastion-172-16-1-124,High,7.8,"The remote Ubuntu 18.04 LTS / 20.04 LTS host has a package installed that is affected by multiple vulnerabilities as referenced in the USN-6702-2 advisory.

    It was discovered that the NVIDIA Tegra XUSB pad controller driver in the Linux kernel did not properly     handle return values in certain error conditions. A local attacker could use this to cause a denial of     service (system crash). (CVE-2023-23000)

    It was discovered that the ARM Mali Display Processor driver implementation in the Linux kernel did not     properly handle certain error conditions. A local attacker could possibly use this to cause a denial of     service (system crash). (CVE-2023-23004)

    Notselwyn discovered that the netfilter subsystem in the Linux kernel did not properly handle verdict     parameters in certain cases; leading to a use- after-free vulnerability. A local attacker could use this     to cause a denial of service (system crash) or possibly execute arbitrary code. (CVE-2024-1086)

    It was discovered that a race condition existed in the SCSI Emulex LightPulse Fibre Channel driver in the     Linux kernel when unregistering FCF and re-scanning an HBA FCF table; leading to a null pointer     dereference vulnerability. A local attacker could use this to cause a denial of service (system crash).
    (CVE-2024-24855)

Tenable has extracted the preceding description block directly from the Ubuntu security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."
CVE-2025-41244; CVE-2025-41246,vc-pvsesx8,High,7.8,"The version of VMware Tools installed on the remote host is 11.x or 12.x prior to 12.5.4; or 13.x prior to 13.0.5.
It is; therefore; affected by multiple vulnerabilities as disclosed in the VMSA-2025-0015 advisory:

  - VMware Aria Operations and VMware Tools contain a local privilege escalation vulnerability. A malicious   local actor with non-administrative privileges having access to a VM with VMware Tools installed and managed   by Aria Operations with SDMP enabled may exploit this vulnerability to escalate privileges to root on the   same VM. (CVE-2025-41244)

  - VMware Tools for Windows contains an improper authorisation vulnerability due to the way it handles user   access controls. A malicious actor with non-administrative privileges on a guest VM; who is already   authenticated through vCenter or ESX may exploit this issue to access other guest VMs. Successful   exploitation requires knowledge of credentials of the targeted VMs and vCenter or ESX. (CVE-2025-41246)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number."
